participant_id,country,region,age,gender,education,occupation,primary_language,urban_rural,internet_access,news_consumption_platform,ai_use_frequency,ai_literacy_score,source_condition
AF0001,Ethiopia,East Africa,41,Woman,Master's degree,Healthcare worker,Amharic,Rural,Broadband/WiFi,Radio,Never,4.25,human
AF0002,Nigeria,West Africa,40,Woman,Secondary school certificate,Self-employed/Entrepreneur,Yoruba,Urban,No regular internet,Online news site,Sometimes (monthly),3.75,llm
AF0003,South Africa,Southern Africa,29,Woman,Some university/college,Business/Finance,Sotho,Urban,Mobile data (4G),Online news site,Sometimes (monthly),3.25,human
AF0004,Kenya,East Africa,37,Man,Bachelor's degree,Healthcare worker,Luo,Urban,Mobile data (4G),WhatsApp/Social media,Daily,1.75,llm
AF0005,South Africa,Southern Africa,27,Woman,Bachelor's degree,Business/Finance,English,Urban,Mobile data (4G),Online news site,Rarely (a few times a year),4.25,human
AF0006,Ghana,West Africa,26,Woman,Bachelor's degree,Student,English,Rural,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.5,llm
AF0007,South Africa,Southern Africa,24,Woman,Bachelor's degree,Teacher/Educator,Sotho,Urban,Broadband/WiFi,Social media,Sometimes (monthly),2.75,human
AF0008,South Africa,Southern Africa,30,Woman,Some university/college,Unemployed/Seeking work,Zulu,Peri-urban,Mobile data (4G),Online news site,Rarely (a few times a year),3.5,llm
AF0009,Zimbabwe,Southern Africa,23,Man,Bachelor's degree,Business/Finance,Shona,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),1.5,human
AF0010,South Africa,Southern Africa,18,Man,Some university/college,Student,Zulu,Urban,Mobile data (2G/3G),Online news site,Often (weekly),3.25,llm
AF0011,Ethiopia,East Africa,29,Woman,Bachelor's degree,Government/Civil service,Somali,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),2.75,human
AF0012,Nigeria,West Africa,25,Woman,Bachelor's degree,Farmer/Agriculture,Yoruba,Urban,Mobile data (2G/3G),Television,Rarely (a few times a year),3.5,llm
AF0013,Zambia,Southern Africa,18,Man,Less than secondary school,Business/Finance,Bemba,Rural,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),2.0,human
AF0014,Uganda,East Africa,27,Woman,Bachelor's degree,Informal sector/Trader,Acholi,Rural,Mobile data (4G),Online news site,Never,3.75,llm
AF0015,Tanzania,East Africa,35,Woman,Bachelor's degree,Farmer/Agriculture,Sukuma,Rural,No regular internet,Radio,Daily,2.75,human
AF0016,Tanzania,East Africa,18,Woman,Bachelor's degree,Student,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.75,llm
AF0017,Uganda,East Africa,18,Non-binary,Some university/college,Teacher/Educator,Runyankole,Rural,Mobile data (4G),Online news site,Rarely (a few times a year),2.0,human
AF0018,Rwanda,East Africa,26,Woman,Some university/college,Healthcare worker,French,Urban,Mobile data (4G),Online news site,Sometimes (monthly),3.25,llm
AF0019,Nigeria,West Africa,45,Woman,Bachelor's degree,Business/Finance,Igbo,Rural,Mobile data (2G/3G),Radio,Sometimes (monthly),2.5,human
AF0020,Ethiopia,East Africa,35,Man,Bachelor's degree,Informal sector/Trader,Amharic,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),3.75,llm
AF0021,Zambia,Southern Africa,21,Woman,Bachelor's degree,Farmer/Agriculture,Nyanja,Urban,Mobile data (2G/3G),Radio,Never,4.5,human
AF0022,Nigeria,West Africa,27,Man,Less than secondary school,Business/Finance,English,Urban,Mobile data (4G),Television,Often (weekly),3.0,llm
AF0023,Ghana,West Africa,19,Woman,Bachelor's degree,Self-employed/Entrepreneur,Ga,Urban,Mobile data (2G/3G),Radio,Sometimes (monthly),3.25,human
AF0024,Ethiopia,East Africa,26,Woman,Bachelor's degree,Farmer/Agriculture,Oromo,Urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),1.25,llm
AF0025,South Africa,Southern Africa,40,Man,Secondary school certificate,Informal sector/Trader,Sotho,Urban,Broadband/WiFi,Social media,Often (weekly),3.25,human
AF0026,Ethiopia,East Africa,31,Man,Master's degree,Government/Civil service,Somali,Peri-urban,No regular internet,Newspaper (print),Rarely (a few times a year),2.5,llm
AF0027,Nigeria,West Africa,27,Woman,Bachelor's degree,Student,Hausa,Urban,Mobile data (2G/3G),Radio,Never,3.5,human
AF0028,Ghana,West Africa,20,Woman,Some university/college,Engineer/Technology,Twi (Akan),Rural,Broadband/WiFi,WhatsApp/Social media,Rarely (a few times a year),2.75,llm
AF0029,South Africa,Southern Africa,33,Man,Master's degree,Business/Finance,Sotho,Urban,Broadband/WiFi,Newspaper (print),Rarely (a few times a year),3.5,human
AF0030,Kenya,East Africa,19,Woman,Secondary school certificate,Engineer/Technology,Swahili,Peri-urban,Mobile data (4G),Radio,Often (weekly),2.75,llm
AF0031,Uganda,East Africa,23,Woman,Less than secondary school,Farmer/Agriculture,Luganda,Rural,Mobile data (2G/3G),Television,Often (weekly),3.0,human
AF0032,Nigeria,West Africa,29,Man,Some university/college,Engineer/Technology,English,Urban,Mobile data (2G/3G),Radio,Never,4.0,llm
AF0033,Nigeria,West Africa,25,Man,Bachelor's degree,Student,Yoruba,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),4.5,human
AF0034,Nigeria,West Africa,27,Man,Some university/college,Farmer/Agriculture,Yoruba,Peri-urban,Mobile data (4G),Online news site,Often (weekly),3.5,llm
AF0035,Tanzania,East Africa,27,Man,Bachelor's degree,Informal sector/Trader,Swahili,Urban,Broadband/WiFi,Radio,Often (weekly),3.25,human
AF0036,Senegal,West Africa,46,Woman,Master's degree,Healthcare worker,Wolof,Rural,Broadband/WiFi,WhatsApp/Social media,Never,3.0,llm
AF0037,Nigeria,West Africa,36,Non-binary,Some university/college,Farmer/Agriculture,Hausa,Rural,Mobile data (2G/3G),Radio,Sometimes (monthly),2.25,human
AF0038,Zimbabwe,Southern Africa,20,Man,Some university/college,Student,English,Rural,Mobile data (2G/3G),WhatsApp/Social media,Daily,3.25,llm
AF0039,Nigeria,West Africa,26,Woman,Secondary school certificate,Healthcare worker,English,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.0,human
AF0040,Kenya,East Africa,22,Woman,Some university/college,Informal sector/Trader,Swahili,Peri-urban,Mobile data (4G),Radio,Rarely (a few times a year),3.75,llm
AF0041,South Africa,Southern Africa,33,Man,Bachelor's degree,Government/Civil service,Afrikaans,Urban,Broadband/WiFi,Online news site,Sometimes (monthly),4.0,human
AF0042,South Africa,Southern Africa,18,Woman,Bachelor's degree,Business/Finance,Sotho,Rural,Mobile data (4G),Online news site,Sometimes (monthly),2.25,llm
AF0043,Ethiopia,East Africa,35,Woman,Secondary school certificate,Farmer/Agriculture,Oromo,Rural,No regular internet,Television,Sometimes (monthly),3.0,human
AF0044,Nigeria,West Africa,21,Man,Some university/college,Student,Yoruba,Urban,Mobile data (4G),Radio,Never,3.5,llm
AF0045,Ethiopia,East Africa,18,Woman,Bachelor's degree,Farmer/Agriculture,English,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),4.0,human
AF0046,South Africa,Southern Africa,18,Man,Secondary school certificate,Self-employed/Entrepreneur,Zulu,Urban,Mobile data (4G),Social media,Sometimes (monthly),3.75,llm
AF0047,South Africa,Southern Africa,41,Man,Secondary school certificate,Informal sector/Trader,English,Peri-urban,Broadband/WiFi,Online news site,Often (weekly),3.75,human
AF0048,Nigeria,West Africa,18,Woman,Some university/college,Healthcare worker,Hausa,Urban,Mobile data (2G/3G),Radio,Often (weekly),3.0,llm
AF0049,Kenya,East Africa,29,Man,Doctoral/professional degree,Government/Civil service,English,Rural,Mobile data (2G/3G),Television,Daily,1.75,human
AF0050,South Africa,Southern Africa,31,Woman,Some university/college,Government/Civil service,Zulu,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),1.75,llm
AF0051,Nigeria,West Africa,33,Man,Bachelor's degree,Informal sector/Trader,Hausa,Peri-urban,Mobile data (4G),Online news site,Never,2.75,human
