trial_id,participant_id,passage_id,domain,topic,source,disclosure_condition,trust_competence,trust_integrity,trust_benevolence,trust_overall,perceived_credibility,information_quality,fact_check_intention,source_guess_blind
T0001,AF0001,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.1,4.1,4.6,4.2,4.4,4.5,4.7,N/A
T0002,AF0001,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,4.2,4.0,3.0,3.9,4.3,3.6,3.3,llm
T0003,AF0001,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,5.4,4.9,4.9,5.2,5.3,5.3,2.6,N/A
T0004,AF0002,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.7,2.9,2.5,2.8,3.3,3.1,3.7,N/A
T0005,AF0002,SCI_04,science,Off-Grid Solar Africa,llm,blind,5.5,4.9,5.1,5.0,5.0,4.7,1.2,llm
T0006,AF0002,LEG_01,legal,African Court Land Rights,llm,disclosed,3.7,3.7,3.3,3.5,3.0,3.7,2.7,N/A
T0007,AF0003,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,4.1,4.1,4.0,4.0,4.2,4.2,3.8,N/A
T0008,AF0003,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.4,4.3,4.8,4.7,5.1,4.5,2.6,N/A
T0009,AF0003,LEG_04,legal,South Africa Mining Charter,human,blind,4.9,4.5,4.8,4.9,4.8,5.0,3.0,llm
T0010,AF0004,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,4.8,4.8,4.4,4.5,3.8,5.0,3.8,N/A
T0011,AF0004,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,blind,4.7,4.6,4.3,4.4,4.6,4.8,3.7,human
T0012,AF0004,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,2.6,2.6,2.8,2.5,2.0,2.6,5.2,N/A
T0013,AF0005,NEWS_03,news,Sahel Drought Food Security,human,disclosed,4.9,5.3,5.2,5.3,5.3,5.3,2.9,N/A
T0014,AF0005,SCI_02,science,H3Africa Genomics Hypertension,human,blind,3.6,3.4,3.2,3.4,2.8,3.6,4.1,llm
T0015,AF0005,LEG_02,legal,Kenya Data Protection Enforcement,human,disclosed,4.5,4.8,3.3,4.2,4.2,4.4,4.5,N/A
T0016,AF0006,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.9,3.1,2.5,2.7,2.7,3.0,4.6,N/A
T0017,AF0006,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,2.8,2.2,2.3,2.2,2.6,2.2,6.0,N/A
T0018,AF0006,LEG_01,legal,African Court Land Rights,llm,blind,4.1,4.5,4.2,4.4,4.4,5.0,2.7,llm
T0019,AF0007,NEWS_04,news,East African Tech Startup Growth,human,disclosed,3.4,3.4,3.1,3.4,3.2,3.4,4.8,N/A
T0020,AF0007,SCI_04,science,Off-Grid Solar Africa,human,blind,4.8,4.9,4.4,4.7,4.8,4.9,3.9,llm
T0021,AF0007,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,6.1,5.3,5.5,5.5,6.0,5.0,1.6,N/A
T0022,AF0008,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,4.4,4.0,4.3,4.4,4.5,4.8,3.6,N/A
